Risk ID,Risk Title,Risk Description,Category,Department,Risk Owner,Date Identified,Likelihood,Impact,Inherent Risk Score,Inherent Risk Level,Existing Controls,Control Effectiveness Label,Control Effectiveness Score,Residual Risk Score,Residual Risk Level,Treatment Plan,Target Date,Status,KRI,Notes
ERM-0001,Ransomware Attack, Risk related to ransomware attack,Cyber Risk,Operations,Compliance Officer,11/19/25,3,1,3,Low,Standard internal controls in place,Moderate,0.5,1.5,Low,Reduce,3/10/23,Open,44 incidents/month, dataset
ERM-0002,Poor Strategic Decisions, Risk related to poor strategic decisions,Strategic Risk,Operations,Operations Manager,4/21/25,4,2,8,Moderate,Standard internal controls in place,Strong,0.75,2,Low,Accept,5/11/23,Mitigated,13 incidents/month, dataset
ERM-0003,Revenue Instability, Risk related to revenue instability,Financial Risk,Operations,HR Manager,2/19/24,5,4,20,Extreme,Standard internal controls in place,Very Strong,0.9,2,Low,Transfer,11/26/25,Closed,21 incidents/month, dataset
ERM-0004,Policy Misalignment, Risk related to policy misalignment,Strategic Risk,Operations,Compliance Officer,8/4/26,5,3,15,Extreme,Standard internal controls in place,Very Strong,0.9,1.5,Low,Transfer,1/27/26,Open,12 incidents/month, dataset
ERM-0005,AML Violation, Risk related to aml violation,Compliance Risk,Finance,HR Manager,9/12/26,5,3,15,Extreme,Standard internal controls in place,Strong,0.75,3.75,Low,Transfer,1/11/24,Under Review,43 incidents/month, dataset
ERM-0006,Exchange Rate Volatility, Risk related to exchange rate volatility,Financial Risk,ICT,Operations Manager,3/7/26,4,4,16,Extreme,Standard internal controls in place,Weak,0.25,12,High,Accept,5/20/25,Under Review,24 incidents/month, dataset
ERM-0007,Process Failure, Risk related to process failure,Operational Risk,ICT,HR Manager,1/17/25,4,3,12,High,Standard internal controls in place,Moderate,0.5,6,Moderate,Reduce,3/9/25,Mitigated,2 incidents/month, dataset
ERM-0008,Human Error, Risk related to human error,Operational Risk,Internal Audit,Internal Auditor,4/26/24,5,3,15,Extreme,Standard internal controls in place,Strong,0.75,3.75,Low,Avoid,5/8/26,Mitigated,35 incidents/month, dataset
ERM-0009,System Hacking, Risk related to system hacking,Cyber Risk,ICT,HR Manager,10/26/23,3,2,6,Moderate,Standard internal controls in place,Very Strong,0.9,0.6,Low,Avoid,11/17/24,Under Review,34 incidents/month, dataset
ERM-0010,Ransomware Attack, Risk related to ransomware attack,Cyber Risk,HR,Director Finance,9/9/25,5,4,20,Extreme,Standard internal controls in place,Strong,0.75,5,Moderate,Accept,6/19/26,Closed,21 incidents/month, dataset
ERM-0011,Liquidity Shortfall, Risk related to liquidity shortfall,Financial Risk,Finance,Compliance Officer,10/29/23,4,4,16,Extreme,Standard internal controls in place,Moderate,0.5,8,Moderate,Accept,7/29/26,Mitigated,18 incidents/month, dataset
ERM-0012,Policy Misalignment, Risk related to policy misalignment,Strategic Risk,Finance,HR Manager,6/8/25,4,2,8,Moderate,Standard internal controls in place,Weak,0.25,6,Moderate,Reduce,1/28/24,Under Review,44 incidents/month, dataset
ERM-0013,Revenue Instability, Risk related to revenue instability,Financial Risk,Internal Audit,Head of ICT,6/16/26,5,3,15,Extreme,Standard internal controls in place,Very Strong,0.9,1.5,Low,Accept,9/8/26,Open,36 incidents/month, dataset
ERM-0014,Credit Default Risk, Risk related to credit default Risk,Financial Risk,HR,Director Finance,4/6/26,2,4,8,Moderate,Standard internal controls in place,Strong,0.75,2,Low,Avoid,12/30/23,Open,16 incidents/month, dataset
ERM-0015,AML Violation, Risk related to aml violation,Compliance Risk,Operations,Head of ICT,12/24/25,4,5,20,Extreme,Standard internal controls in place,Very Strong,0.9,2,Low,Accept,8/2/23,Under Review,26 incidents/month, dataset
ERM-0016,Process Failure, Risk related to process failure,Operational Risk,ICT,HR Manager,12/10/26,3,3,9,Moderate,Standard internal controls in place,Weak,0.25,6.75,Moderate,Avoid,11/16/26,Under Review,3 incidents/month, dataset
ERM-0017,Customer Complaints, Risk related to customer complaints,Reputational Risk,Finance,Director Finance,7/13/26,5,2,10,High,Standard internal controls in place,Very Strong,0.9,1,Low,Transfer,11/23/23,Mitigated,7 incidents/month, dataset
ERM-0018,Service Failure, Risk related to service failure,Reputational Risk,Procurement,Internal Auditor,4/6/23,5,4,20,Extreme,Standard internal controls in place,Strong,0.75,5,Moderate,Reduce,7/15/26,Closed,0 incidents/month, dataset
ERM-0019,Policy Misalignment, Risk related to policy misalignment,Strategic Risk,Internal Audit,Compliance Officer,6/3/25,3,4,12,High,Standard internal controls in place,Moderate,0.5,6,Moderate,Transfer,12/23/23,Closed,8 incidents/month, dataset
ERM-0020,Liquidity Shortfall, Risk related to liquidity shortfall,Financial Risk,HR,Compliance Officer,5/28/26,1,2,2,Low,Standard internal controls in place,Weak,0.25,1.5,Low,Transfer,12/1/24,Mitigated,42 incidents/month, dataset
ERM-0021,Negative Publicity, Risk related to negative publicity,Reputational Risk,Operations,Compliance Officer,9/20/24,1,2,2,Low,Standard internal controls in place,Very Strong,0.9,0.2,Low,Transfer,4/8/24,Mitigated,22 incidents/month, dataset
ERM-0022,Service Failure, Risk related to service failure,Reputational Risk,Internal Audit,Internal Auditor,7/20/24,3,3,9,Moderate,Standard internal controls in place,Strong,0.75,2.25,Low,Accept,9/2/24,Closed,35 incidents/month, dataset
ERM-0023,Regulatory Breach, Risk related to regulatory breach,Compliance Risk,Strategy,Operations Manager,10/27/23,2,3,6,Moderate,Standard internal controls in place,Moderate,0.5,3,Low,Transfer,2/26/23,Mitigated,35 incidents/month, dataset
ERM-0024,Policy Misalignment, Risk related to policy misalignment,Strategic Risk,HR,Head of ICT,10/23/25,1,4,4,Low,Standard internal controls in place,Very Strong,0.9,0.4,Low,Accept,1/17/26,Mitigated,28 incidents/month, dataset
ERM-0025,Market Competition, Risk related to market competition,Strategic Risk,Compliance,HR Manager,11/18/23,1,3,3,Low,Standard internal controls in place,Strong,0.75,0.75,Low,Transfer,8/21/23,Open,45 incidents/month, dataset
ERM-0026,Market Competition, Risk related to market competition,Strategic Risk,Procurement,Operations Manager,4/9/25,4,3,12,High,Standard internal controls in place,Weak,0.25,9,Moderate,Accept,1/30/24,Mitigated,11 incidents/month, dataset
ERM-0027,Human Error, Risk related to human error,Operational Risk,Procurement,Internal Auditor,11/9/25,5,2,10,High,Standard internal controls in place,Strong,0.75,2.5,Low,Accept,6/18/24,Closed,28 incidents/month, dataset
ERM-0028,Ransomware Attack, Risk related to ransomware attack,Cyber Risk,HR,Director Finance,8/20/23,3,5,15,Extreme,Standard internal controls in place,Moderate,0.5,7.5,Moderate,Accept,9/28/24,Mitigated,22 incidents/month, dataset
ERM-0029,Negative Publicity, Risk related to negative publicity,Reputational Risk,Strategy,Director Finance,11/11/23,4,3,12,High,Standard internal controls in place,Very Strong,0.9,1.2,Low,Reduce,9/10/23,Closed,50 incidents/month, dataset
ERM-0030,Phishing Attack, Risk related to phishing attack,Cyber Risk,Compliance,Director Finance,11/11/24,5,2,10,High,Standard internal controls in place,Weak,0.25,7.5,Moderate,Transfer,12/8/24,Under Review,48 incidents/month, dataset
